Transcript,Transcript
TRINITY_DN0_c0_g1_i22,TRINITY_DN0_c0_g1_i22
TRINITY_DN0_c1_g1_i1,TRINITY_DN0_c1_g1_i1
TRINITY_DN0_c3_g1_i1,TRINITY_DN0_c3_g1_i1
TRINITY_DN0_c3_g2_i13,TRINITY_DN0_c3_g2_i13
TRINITY_DN0_c6_g1_i3,TRINITY_DN0_c6_g1_i3
TRINITY_DN0_c7_g1_i15,TRINITY_DN0_c7_g1_i15
TRINITY_DN100014_c1_g1_i1,TRINITY_DN100014_c1_g1_i1
TRINITY_DN100019_c0_g1_i1,TRINITY_DN100019_c0_g1_i1
TRINITY_DN10002_c0_g2_i3,TRINITY_DN10002_c0_g2_i3
TRINITY_DN100030_c0_g1_i16,TRINITY_DN100030_c0_g1_i16
TRINITY_DN100032_c0_g1_i1,TRINITY_DN100032_c0_g1_i1
TRINITY_DN10003_c0_g1_i18,TRINITY_DN10003_c0_g1_i18
TRINITY_DN10004_c0_g2_i2,TRINITY_DN10004_c0_g2_i2
TRINITY_DN100062_c0_g1_i1,TRINITY_DN100062_c0_g1_i1
TRINITY_DN100078_c0_g1_i1,TRINITY_DN100078_c0_g1_i1
TRINITY_DN10009_c0_g2_i6,TRINITY_DN10009_c0_g2_i6
TRINITY_DN10010_c0_g2_i17,TRINITY_DN10010_c0_g2_i17
TRINITY_DN100113_c0_g1_i12,TRINITY_DN100113_c0_g1_i12
TRINITY_DN100117_c0_g2_i1,TRINITY_DN100117_c0_g2_i1
TRINITY_DN100118_c0_g1_i2,TRINITY_DN100118_c0_g1_i2
TRINITY_DN10011_c0_g2_i11,TRINITY_DN10011_c0_g2_i11
TRINITY_DN10012_c0_g1_i13,TRINITY_DN10012_c0_g1_i13
TRINITY_DN10012_c2_g1_i3,TRINITY_DN10012_c2_g1_i3
TRINITY_DN10013_c0_g1_i7,TRINITY_DN10013_c0_g1_i7
TRINITY_DN10014_c0_g2_i4,TRINITY_DN10014_c0_g2_i4
TRINITY_DN10015_c0_g1_i1,TRINITY_DN10015_c0_g1_i1
TRINITY_DN10016_c0_g1_i12,TRINITY_DN10016_c0_g1_i12
TRINITY_DN100175_c0_g1_i1,TRINITY_DN100175_c0_g1_i1
TRINITY_DN100176_c0_g1_i1,TRINITY_DN100176_c0_g1_i1
TRINITY_DN10017_c0_g2_i1,TRINITY_DN10017_c0_g2_i1
TRINITY_DN10017_c1_g1_i2,TRINITY_DN10017_c1_g1_i2
TRINITY_DN10018_c0_g1_i13,TRINITY_DN10018_c0_g1_i13
TRINITY_DN10019_c0_g1_i7,TRINITY_DN10019_c0_g1_i7
TRINITY_DN1001_c0_g1_i1,TRINITY_DN1001_c0_g1_i1
TRINITY_DN100201_c1_g1_i1,TRINITY_DN100201_c1_g1_i1
TRINITY_DN100205_c0_g1_i2,TRINITY_DN100205_c0_g1_i2
TRINITY_DN100212_c1_g1_i12,TRINITY_DN100212_c1_g1_i12
TRINITY_DN10021_c0_g1_i14,TRINITY_DN10021_c0_g1_i14
TRINITY_DN100222_c0_g1_i2,TRINITY_DN100222_c0_g1_i2
TRINITY_DN100227_c0_g1_i1,TRINITY_DN100227_c0_g1_i1
TRINITY_DN10023_c0_g1_i4,TRINITY_DN10023_c0_g1_i4
TRINITY_DN100241_c1_g1_i3,TRINITY_DN100241_c1_g1_i3
TRINITY_DN100259_c0_g1_i1,TRINITY_DN100259_c0_g1_i1
TRINITY_DN100259_c1_g2_i1,TRINITY_DN100259_c1_g2_i1
TRINITY_DN100268_c0_g1_i1,TRINITY_DN100268_c0_g1_i1
TRINITY_DN100274_c0_g2_i3,TRINITY_DN100274_c0_g2_i3
TRINITY_DN10027_c0_g1_i1,TRINITY_DN10027_c0_g1_i1
TRINITY_DN1002_c0_g1_i1,TRINITY_DN1002_c0_g1_i1
TRINITY_DN10030_c3_g1_i7,TRINITY_DN10030_c3_g1_i7
TRINITY_DN10031_c0_g1_i2,TRINITY_DN10031_c0_g1_i2
